,reset,soft-reset ,value,1,tableName,SYSTEM_RESET,method,POST,39,access,user,socketFilter,0,filter,LIST,NONE,LIST,1,END,,,,,
,,configuration-reset,value,1,tableName,SYSTEM_RESET,method,POST,40,access,user,socketFilter,0,filter,LIST,NONE,LIST,1,END,,,,,
,,factory-reset,value,1,tableName,SYSTEM_RESET,method,POST,41,access,user,socketFilter,0,filter,LIST,NONE,LIST,1,END,,,,,
,reboot,value,1,tableName,SYSTEM,method,POST,42,access,user,socketFilter,0,filter,LIST,NONE,LIST,1,END,,,,,,
,authentication,user,value,ks,tableName,SYSTEM_AUTHENTICATION,method,POST,0,access,user,socketFilter,1,filter,NONE,,,,,,,,,
,,user-pwd,value,User#1234,tableName,SYSTEM_AUTHENTICATION,method,POST,0,access,user,socketFilter,1,filter,NONE,,,,,,,,,
,,admin,value,admin,tableName,SYSTEM_AUTHENTICATION,method,POST,0,access,user,socketFilter,1,filter,NONE,,,,,,,,,
,,admin-pwd,value,Admin#1234,tableName,SYSTEM_AUTHENTICATION,method,POST,0,access,user,socketFilter,1,filter,NONE,,,,,,,,,
,identification,id,value,DECODER001,tableName,SYSTEM_IDENTIFICATION,method,GET,43,access,user,socketFilter,0,filter,NONE,,,,,,,,,
,video-mode,enable-3d,value,0,tableName,SYSTEM_VIDEO-MODE,method,GET,44,POST,45,access,admin,socketFilter,0,filter,MIN,MAX,NONE,MIN,0,MAX,1,
,config-file ,upload,value,config.csv,tableName,SYSTEM_CONFIG-FILE,method,GET,46,access,user,socketFilter,0,filter,NONE,,,,,,,,,
,,download,value,SUCCESS,tableName,SYSTEM_CONFIG-FILE,method,POST,47,access,user,socketFilter,0,filter,NONE,,,,,,,,,
,,delete,value,config.csv,tableName,SYSTEM_CONFIG-FILE,method,POST,48,access,user,socketFilter,0,filter,NONE,,,,,,,,,
,,update,value,1,tableName,SYSTEM_CONFIG-FILE,method,POST,49,access,user,socketFilter,0,filter,NONE,,,,,,,,,
,misc,board-type,value,11,tableName,SYSTEM_MISC,method,GET,50,access,user,socketFilter,0,filter,LIST ,NONE,LIST,0,1,10,11,END,,
,,led-on-time,value,50,tableName,SYSTEM_MISC,method,GET,51,POST,52,access,admin,socketFilter,0,filter,MIN,MAX,NONE,MIN,0,MAX,1,
,,led-off-time,value,50,tableName,SYSTEM_MISC,method,GET,53,POST,54,access,admin,socketFilter,0,filter,MIN,MAX,NONE,MIN,0,MAX,1,
,,http-mode,value,1,tableName,SYSTEM_MISC,method,GET,55,POST,56,access,admin,socketFilter,1,filter,MIN,MAX,NONE,MIN,0,MAX,1,
,,enable-encryption,value,0,tableName,SYSTEM_MISC,method,GET,57,POST,58,access,admin,socketFilter,1,filter,MIN,MAX,NONE,MIN,0,MAX,1,
video,input,streams ,value,2,tableName,VIDEO_INPUT,method,GET,101,access,user,socketFilter,0,filter,NONE,,,,,,,,,
,,resolution,value,1080p,tableName,VIDEO_INPUT,method,GET,102,access,user,socketFilter,0,filter,NONE,,,,,,,,,
,,frame-rate,value,30,tableName,VIDEO_INPUT,method,GET,103,access,user,socketFilter,0,filter,NONE,,,,,,,,,
,,valid-input,value,1,tableName,VIDEO_INPUT,method,GET,104,access,user,socketFilter,0,filter,NONE,,,,,,,,,
,,cable-presence,value,0,tableName,VIDEO_INPUT,method,GET,105,access,user,socketFilter,0,filter,NONE,,,,,,,,,
,,buffer-type,value,1,tableName,VIDEO_INPUT,method,GET,106,POST,107,access,admin,socketFilter,0,filter,MIN,MAX,NONE,MIN,0,MAX,1,
,,buffer-delay,value,500,tableName,VIDEO_INPUT,method,GET,108,POST,109,access,admin,socketFilter,0,filter,MIN,MAX,NONE,MIN,0,MAX,500,
,,hqll-mult-ip-addr,value,232.0.5.1,tableName,VIDEO_INPUT,method,GET,110,POST,111,access,admin,socketFilter,0,filter,TYPE,NONE,TYPE,IPAddress,,,,
,,es-mult-ip-addr,value,232.0.5.2,tableName,VIDEO_INPUT,method,GET,112,POST,113,access,admin,socketFilter,0,filter,TYPE,NONE,TYPE,IPAddress,,,,
,,mute,value,0,tableName,VIDEO_INPUT,method,GET,114,POST,58,access,admin,socketFilter,0,filter,MIN,MAX,NONE,MIN,0,MAX,1,
